xrandr                                      - Command line interface to X11 Resize, Rotate, and Reflect (RandR) extension
xset                                        - X.Org Applications - xset
xvidcore                                    - Xvid MPEG-4 video codec
xz                                          - xz (Data compression software)
yaml                                        - LibYAML
zenity                                      - A tool that allows you to display GTK dialog boxes in commandline and shell scripts
zimg                                        - Project zimg is a light image storage and processing system.
zip                                         - Archiver for .zip files
zlib                                        - zlib (Compression library)
zstd                                        - Zstd command line tools
